 душа земля ждать земной вечный безмолвный слабый власть иной мочь
 верить дрожать злой стоить день влага мелькать непонятный стройный дерево
 лес месяц срок край пойти счёт мёд ала бесконечность чета
 слеза бытие утренний войти мать неисчерпаемый ряд бог покорный затем
 петь звено звук нежный снова соловей поднять лёгкий ласка горло
 первый белый вода стать играть пасть победить друг дитя вечер
 ограда поникнуть последний дверь стучать меж цепь помнить трое юноша
 ночь луна тишина тень ночной бледный холодный яркий молчать молодой
 трава сердце небо голос природа воспоминание ещё толпа бездна друг
 роза рваться грустный прийти песня далёкий забыть биться ропот исполнить
 грёза желание светлый оно принять шумный точно ныне таинственный господь
 где-то звезда лень спать светить солнце месяц вспыхнуть дальний конь
 лист тихий ещё вечно рано утром широкий родный богиня слеза
 весь порой мир ужас великий казаться тринадцать гореть счастие везде
 брат слышный умереть оттого полный семя пред едва зачать судить
 пусть поле кровь верный туман надежда сказать любовь тень ласка
 средь вода среди мир шептать чувство сказка летать весь нить
 идти год сильный аллея человек никто точно чей могила странный
 любить слово забыть мочь хранить уметь оставить круча стать жить
 любовь день заря тень окно час одинокий звук полный лицо
 мрак тёмный идти путь грудь печальный луг говорить лунный беспощадный
 дать бог человек друг мочь жизнь любить любовь вечно имя
 камень увидеть сердце поэт речь весна луч гимн умереть бездна
 день душа печаль свой тоска весь звезда бесконечный мир святой
 сон час звать простор стон прошлый океан молча оставить вдали
 мысль мечта найти сон уйти цветок дух мощь сила гений
 улыбка след свет каждый грудь туманный поцелуй красота манить чистый
 вечность красота мечта творец конец воля чуждый отдых мучение сознание
 глядеть око сидеть накануне нога стыд душистый дорогой плоть русалка
 рука мука разлука сиять понять аромат радостный миг узнать целовать
 нарва вкруг сестра внимать дожить скользить страстный дождаться маковый герой
 это небо светить маленький дорога полутёмный кисея высота придорожный враг
 меж черта хотеть цветок мечта тосковать грань сколько пора пока
 всё нежный лишь осенний тихий вокруг рассвет вешний приходить страшный
 сердце плакать полный уста свой огонь большой страдание друг капля
 свет мгла туман чёрный мерцание лицо молитва мечта холодный туча
 скала расти сосна стена могучий лазурь неясный жаждать число чахлый
 огонь радость цвет пред жизнь таинственный лёгкий смех нагой птица
 вдали вал дух царь встать глаз гроб хотеть вставать пыль
 весь свой смерть глаз гора судья сулить уснуть звёздный сердце
 наш счастие страсть милый всё новый жизнь могила око гаснуть
 видеть всё волна слышать мгновение ветер лес тень смотреть прочь
 взор мир век пир завет хор кудри пустой добрый живить
 мёртвый снег солнце тяжёлый холод покой тусклый белизна луч сухой
 знать крыло твой жить дать лишь поэт прежний думать бедный
 твой свой забвение ребёнок сомнение боль суровый тьма нежный сын
 немой небо земля смерть зло искать печаль бежать вечер дыхание
 смерть гордый ребёнок взор чаша гореть стан спросить нужно знать
 шептать ветер песок пустыня долго сказать пепел жажда знак скала
 безумный тело живой пройти утро речь бросать дочь ступень улица
